u;theta rad;omega rad/s
-5;602.0236364;-67.65272727
-5;595.2440909;-67.79545455
-5;588.4645455;-67.79545455
-5;581.685;-67.79545455
-5;574.9197273;-67.65272727
-5;568.1401818;-67.79545455
-5;561.3749091;-67.65272727
-5;554.6096364;-67.65272727
-5;547.8443636;-67.65272727
-5;541.0648182;-67.79545455
-5;534.2995455;-67.65272727
-5;527.5342727;-67.65272727
-5;520.769;-67.65272727
-5;514.0037273;-67.65272727
-5;507.2241818;-67.79545455
-5;500.4589091;-67.65272727
-5;493.6936364;-67.65272727
-5;486.9283636;-67.65272727
-5;480.1630909;-67.65272727
-5;473.3978182;-67.65272727
-5;466.6468182;-67.51
-5;459.8672727;-67.79545455
-5;453.1162727;-67.51
-5;446.351;-67.65272727
-5;439.5857273;-67.65272727
-5;432.8204545;-67.65272727
-5;426.0551818;-67.65272727
-5;419.2899091;-67.65272727
-5;412.5246364;-67.65272727
-5;405.7593636;-67.65272727
-5;398.9798182;-67.79545455
-5;392.2288182;-67.51
-5;385.4635455;-67.65272727
-5;378.7125455;-67.51
-5;371.9472727;-67.65272727
-5;365.1962727;-67.51
-5;358.4452727;-67.51
-5;351.68;-67.65272727
-5;344.9147273;-67.65272727
-5;338.1637273;-67.51
-5;331.3984545;-67.65272727
-5;324.6331818;-67.65272727
-5;317.8679091;-67.65272727
-5;311.1169091;-67.51
-5;304.3373636;-67.79545455
-5;297.5863636;-67.51
-5;290.8353636;-67.51
-5;284.0843636;-67.51
-5;277.3190909;-67.65272727
-5;270.5680909;-67.51
-5;263.8170909;-67.51
-5;257.0660909;-67.51
-5;250.3150909;-67.51
-5;243.5355455;-67.79545455
-5;236.7845455;-67.51
-5;230.0335455;-67.51
-5;223.2825455;-67.51
-5;216.5315455;-67.51
-5;209.7805455;-67.51
-5;203.0295455;-67.51
-5;196.2785455;-67.51
-5;189.5418182;-67.36727273
-5;182.7908182;-67.51
-5;176.0398182;-67.51
-5;169.3030909;-67.36727273
-5;162.5378182;-67.65272727
3;155.9580909;-65.79727273
3;149.6495455;-63.08545455
3;143.6407273;-60.08818182
3;137.9316364;-57.09090909
3;132.508;-54.23636364
3;127.3698182;-51.38181818
3;122.5170909;-48.52727273
3;117.9355455;-45.81545455
3;113.6251818;-43.10363636
3;109.5574545;-40.67727273
3;105.7894545;-37.68
3;102.2640909;-35.25363636
3;99.00990909;-32.54181818
3;96.01263636;-29.97272727
3;93.258;-27.54636364
3;90.76027273;-24.97727273
3;88.51945455;-22.40818182
