r;thetaT;omegaR;error;u;u_i;u_p;
10.0;105.10055422918582;9.99597662505849;0.004023374941510838;1.9521532655470413;1.9465805371960538;0.005572728350987363;
10.0;106.07159195847719;9.710377292913677;0.2896227070863233;2.4104136195764574;2.009260683463676;0.4011529361127814;
10.0;107.08546958759025;10.138776291130682;-0.13877629113068224;1.7870093430075595;1.979226718537174;-0.1922173755296144;
10.0;108.12790714991779;10.424375623275353;-0.4243756232753526;1.2995857628567105;1.8873833461479221;-0.5877975832912117;
10.0;109.15606474563809;10.281575957203017;-0.2815759572030174;1.436437198079632;1.8264446774900451;-0.390007479410413;
10.0;110.18422234135838;10.281575957202875;-0.2815759572028753;1.3754985294219826;1.7655060088321988;-0.3900074794102162;
10.0;111.169540037257;9.853176958986154;0.14682304101384602;2.0006442836002014;1.7972814513684154;0.20336283223178597;
10.0;112.14057776654839;9.710377292913961;0.2896227070860391;2.261114533748364;1.859961597635976;0.4011529361123877;
10.0;113.14017542905424;9.99597662505849;0.004023374941510838;1.8664050647918051;1.8608323364408177;0.005572728350987363;
10.0;114.1540530581673;10.138776291130682;-0.13877629113068224;1.638580995984701;1.8307983715143155;-0.1922173755296144;
10.0;115.16793068728037;10.138776291130682;-0.13877629113068224;1.6085470310581989;1.8007644065878132;-0.1922173755296144;
10.0;116.18180831639344;10.138776291130682;-0.13877629113068224;1.5785130661316966;1.770730441661311;-0.1922173755296144;
10.0;117.18140597889929;9.99597662505849;0.004023374941510838;1.77717390881714;1.7716011804661527;0.005572728350987363;
10.0;118.16672367479791;9.853176958986154;0.14682304101384602;2.0067394552341553;1.8033766230023693;0.20336283223178597;
10.0;119.13776140408929;9.710377292913819;0.2896227070861812;2.2672097053825455;1.8660567692699608;0.40115293611258457;
10.0;120.15163903320236;10.138776291130682;-0.13877629113068224;1.6438054288138442;1.8360228043434585;-0.1922173755296144;
10.0;121.17979662892265;10.281575957202875;-0.2815759572028753;1.385076656275396;1.7750841356856122;-0.3900074794102162;
10.0;122.19367425803571;10.138776291130682;-0.13877629113068224;1.5528327952294956;1.74505017075911;-0.1922173755296144;
10.0;123.19327192054156;9.99597662505849;0.004023374941510838;1.751493637914939;1.7459209095639516;0.005572728350987363;
10.0;124.17858961644018;9.853176958986154;0.14682304101384602;1.9810591843319543;1.7776963521001683;0.20336283223178597;
10.0;125.13534737912435;9.567577626841768;0.4324223731582322;2.4702242420920624;1.871281202099073;0.5989430399929895;
10.0;126.13494504163019;9.995976625058347;0.004023374941652946;1.8777246692551297;1.8721519409039455;0.005572728351184196;
10.0;127.16310263735049;10.281575957203017;-0.2815759572030174;1.4212057928356554;1.8112132722460685;-0.390007479410413;
10.0;128.19126023307078;10.281575957202875;-0.2815759572028753;1.360267124178006;1.7502746035882222;-0.3900074794102162;
10.0;129.20513786218385;10.138776291130682;-0.13877629113068224;1.5280232631321056;1.72024063866172;-0.1922173755296144;
10.0;130.19045555808248;9.853176958986296;0.14682304101370391;1.9553789134294948;1.7520160811979058;0.20336283223158913;
